geoid,Region,State,age,season,MMWR Year/Week,Deaths from pneumonia and influenza,All Deaths
National,,,0-17 years,2009-10,201027,16,747
National,,,18-64 years,2009-10,201027,571,12381
National,,,65 years and older,2009-10,201027,2636,32524
National,,,0-17 years,2009-10,201028,19,757
National,,,18-64 years,2009-10,201028,527,12020
National,,,65 years and older,2009-10,201028,2581,32146
National,,,0-17 years,2009-10,201029,13,754
National,,,18-64 years,2009-10,201029,467,11915
National,,,65 years and older,2009-10,201029,2617,32023
National,,,0-17 years,2009-10,201030,12,795
National,,,18-64 years,2009-10,201030,478,11852
National,,,65 years and older,2009-10,201030,2477,31699
National,,,0-17 years,2009-10,201031,12,763
National,,,18-64 years,2009-10,201031,491,12048
National,,,65 years and older,2009-10,201031,2531,31976
National,,,0-17 years,2009-10,201032,9,797
National,,,18-64 years,2009-10,201032,510,11946
National,,,65 years and older,2009-10,201032,2417,31725
National,,,0-17 years,2009-10,201033,13,753
National,,,18-64 years,2009-10,201033,526,11655
National,,,65 years and older,2009-10,201033,2480,32047
National,,,0-17 years,2009-10,201034,15,743
National,,,18-64 years,2009-10,201034,488,11848
National,,,65 years and older,2009-10,201034,2401,31804
National,,,0-17 years,2009-10,201035,10,757
National,,,18-64 years,2009-10,201035,526,11722
National,,,65 years and older,2009-10,201035,2523,31918
National,,,0-17 years,2009-10,201036,16,724
National,,,18-64 years,2009-10,201036,577,11872
National,,,65 years and older,2009-10,201036,2585,32309
National,,,0-17 years,2009-10,201037,19,701
National,,,18-64 years,2009-10,201037,529,11771
National,,,65 years and older,2009-10,201037,2654,32823
National,,,0-17 years,2009-10,201038,11,733
National,,,18-64 years,2009-10,201038,548,11503
National,,,65 years and older,2009-10,201038,2549,32925
National,,,0-17 years,2009-10,201039,16,789
National,,,18-64 years,2009-10,201039,520,11816
National,,,65 years and older,2009-10,201039,2692,32748
National,,,0-17 years,2010-11,201040,13,770
National,,,18-64 years,2010-11,201040,545,12018
National,,,65 years and older,2010-11,201040,2710,33842
National,,,0-17 years,2010-11,201041,10,693
National,,,18-64 years,2010-11,201041,581,11913
National,,,65 years and older,2010-11,201041,2882,34008
National,,,0-17 years,2010-11,201042,16,718
National,,,18-64 years,2010-11,201042,577,12065
National,,,65 years and older,2010-11,201042,2841,34350
National,,,0-17 years,2010-11,201043,13,684
National,,,18-64 years,2010-11,201043,614,11819
National,,,65 years and older,2010-11,201043,2881,34113
National,,,0-17 years,2010-11,201044,17,709
National,,,18-64 years,2010-11,201044,557,12263
National,,,65 years and older,2010-11,201044,2936,34513
National,,,0-17 years,2010-11,201045,17,708
National,,,18-64 years,2010-11,201045,585,12308
National,,,65 years and older,2010-11,201045,3016,35454
National,,,0-17 years,2010-11,201046,22,772
National,,,18-64 years,2010-11,201046,592,12001
National,,,65 years and older,2010-11,201046,2944,35407
National,,,0-17 years,2010-11,201047,18,688
National,,,18-64 years,2010-11,201047,602,12114
National,,,65 years and older,2010-11,201047,3005,35006
National,,,0-17 years,2010-11,201048,19,717
National,,,18-64 years,2010-11,201048,634,12272
National,,,65 years and older,2010-11,201048,3220,35963
National,,,0-17 years,2010-11,201049,19,732
National,,,18-64 years,2010-11,201049,655,12561
National,,,65 years and older,2010-11,201049,3177,37066
National,,,0-17 years,2010-11,201050,14,665
National,,,18-64 years,2010-11,201050,652,12619
National,,,65 years and older,2010-11,201050,3386,38001
National,,,0-17 years,2010-11,201051,28,690
National,,,18-64 years,2010-11,201051,651,12459
National,,,65 years and older,2010-11,201051,3446,37769
National,,,0-17 years,2010-11,201052,32,724
National,,,18-64 years,2010-11,201052,758,13133
National,,,65 years and older,2010-11,201052,3820,38943
National,,,0-17 years,2010-11,201101,27,660
National,,,18-64 years,2010-11,201101,792,13077
National,,,65 years and older,2010-11,201101,4050,39866
National,,,0-17 years,2010-11,201102,24,682
National,,,18-64 years,2010-11,201102,862,12926
National,,,65 years and older,2010-11,201102,3905,39240
National,,,0-17 years,2010-11,201103,33,675
National,,,18-64 years,2010-11,201103,759,12931
National,,,65 years and older,2010-11,201103,3990,38984
National,,,0-17 years,2010-11,201104,41,782
National,,,18-64 years,2010-11,201104,807,12697
National,,,65 years and older,2010-11,201104,4060,38972
National,,,0-17 years,2010-11,201105,38,733
National,,,18-64 years,2010-11,201105,833,12905
National,,,65 years and older,2010-11,201105,3940,38560
National,,,0-17 years,2010-11,201106,41,725
National,,,18-64 years,2010-11,201106,891,13110
National,,,65 years and older,2010-11,201106,3973,39087
National,,,0-17 years,2010-11,201107,38,835
National,,,18-64 years,2010-11,201107,933,13212
National,,,65 years and older,2010-11,201107,4191,39509
National,,,0-17 years,2010-11,201108,49,757
National,,,18-64 years,2010-11,201108,955,13037
National,,,65 years and older,2010-11,201108,4182,38643
National,,,0-17 years,2010-11,201109,33,727
National,,,18-64 years,2010-11,201109,915,12978
National,,,65 years and older,2010-11,201109,4057,38631
National,,,0-17 years,2010-11,201110,34,765
National,,,18-64 years,2010-11,201110,902,13171
National,,,65 years and older,2010-11,201110,3956,37892
National,,,0-17 years,2010-11,201111,27,734
National,,,18-64 years,2010-11,201111,786,12722
National,,,65 years and older,2010-11,201111,3835,37399
National,,,0-17 years,2010-11,201112,34,705
National,,,18-64 years,2010-11,201112,788,12418
National,,,65 years and older,2010-11,201112,3611,36743
National,,,0-17 years,2010-11,201113,31,792
National,,,18-64 years,2010-11,201113,685,12222
National,,,65 years and older,2010-11,201113,3553,36485
National,,,0-17 years,2010-11,201114,27,740
National,,,18-64 years,2010-11,201114,641,12775
National,,,65 years and older,2010-11,201114,3472,36337
National,,,0-17 years,2010-11,201115,22,755
National,,,18-64 years,2010-11,201115,673,12347
National,,,65 years and older,2010-11,201115,3317,35234
National,,,0-17 years,2010-11,201116,29,702
National,,,18-64 years,2010-11,201116,654,12024
National,,,65 years and older,2010-11,201116,3245,35286
National,,,0-17 years,2010-11,201117,18,738
National,,,18-64 years,2010-11,201117,603,12214
National,,,65 years and older,2010-11,201117,3088,34640
National,,,0-17 years,2010-11,201118,17,733
National,,,18-64 years,2010-11,201118,700,12385
National,,,65 years and older,2010-11,201118,3050,34325
National,,,0-17 years,2010-11,201119,28,733
National,,,18-64 years,2010-11,201119,604,12250
National,,,65 years and older,2010-11,201119,3110,34557
National,,,0-17 years,2010-11,201120,19,751
National,,,18-64 years,2010-11,201120,590,12087
National,,,65 years and older,2010-11,201120,2978,33849
National,,,0-17 years,2010-11,201121,14,734
National,,,18-64 years,2010-11,201121,591,12101
National,,,65 years and older,2010-11,201121,2949,33820
National,,,0-17 years,2010-11,201122,15,753
National,,,18-64 years,2010-11,201122,553,12150
National,,,65 years and older,2010-11,201122,2935,33406
National,,,0-17 years,2010-11,201123,21,773
National,,,18-64 years,2010-11,201123,611,12411
National,,,65 years and older,2010-11,201123,2833,33402
National,,,0-17 years,2010-11,201124,23,803
National,,,18-64 years,2010-11,201124,551,11761
National,,,65 years and older,2010-11,201124,2770,33488
National,,,0-17 years,2010-11,201125,15,720
National,,,18-64 years,2010-11,201125,573,12209
National,,,65 years and older,2010-11,201125,2750,32871
